,name,uri,popularity,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
183,El siete mares,spotify:track:0byZkYj5d6UbeyK66tXLPr,53,2017-11-24,0.562,0.684,0,-3.457,1,0.0327,0.0528,0.0,0.211,0.85,149.925,0byZkYj5d6UbeyK66tXLPr,158880,3
184,Qué Bonita Es Esta Vida,spotify:track:6NUCCkhRNn8h2ZQOOV8HXC,41,2015-02-10,0.526,0.579,0,-6.554,1,0.0437,0.547,0.0,0.121,0.723,112.068,6NUCCkhRNn8h2ZQOOV8HXC,242427,4
185,Grand Etang / Hull's Reel,spotify:track:4NU79OQVI8T1fwXYkHlF2d,22,2011-03-15,0.466,0.603,2,-7.447,1,0.043,0.673,0.522,0.316,0.794,120.868,4NU79OQVI8T1fwXYkHlF2d,292200,4
186,Tommy's Tarbukas,spotify:track:3mKA0Pojh58gWAhYGeSMB2,39,1989-01-01,0.679,0.523,7,-9.905,0,0.0498,0.713,0.208,0.0802,0.917,113.456,3mKA0Pojh58gWAhYGeSMB2,151000,4
187,El Son De La Negra,spotify:track:55E7EwrH84QpmJ9McoZSVT,16,2014-08-22,0.496,0.8,7,-4.069,1,0.0373,0.261,0.0672,0.256,0.96,88.828,55E7EwrH84QpmJ9McoZSVT,174550,3
188,On The Sunny Side Of The Street,spotify:track:38R2EViAkYOFG8ZkG3GLtW,53,2017-09-29,0.671,0.352,0,-11.511,1,0.0556,0.532,0.000141,0.11,0.396,120.235,38R2EViAkYOFG8ZkG3GLtW,342891,4
189,Joy Spring,spotify:track:0sQ9ee2jJNTQgjy55Pse5H,48,1998-01-01,0.546,0.305,3,-10.934,1,0.0494,0.789,0.352,0.125,0.664,164.902,0sQ9ee2jJNTQgjy55Pse5H,198800,3
190,Sandu,spotify:track:7iOTBeLm5qR9N23fjQy8Kl,50,1955-01-01,0.562,0.447,8,-9.363,1,0.0636,0.633,0.125,0.0884,0.471,68.957,7iOTBeLm5qR9N23fjQy8Kl,297040,4
191,Easy Living,spotify:track:5yiImOvhyoK3QXUHVWcUUl,42,2001-01-01,0.505,0.145,8,-11.153,1,0.0357,0.97,0.933,0.0847,0.346,125.848,5yiImOvhyoK3QXUHVWcUUl,224053,4
192,Guantanamera,spotify:track:7arYtARCpVmLPsB8Chua4A,0,2003-01-28,0.753,0.522,10,-7.254,1,0.0416,0.831,0.00398,0.407,0.862,144.2,7arYtARCpVmLPsB8Chua4A,197067,4
193,La Vida Es Un Carnaval,spotify:track:1BwrMGGhPA6GarWIYaFrW8,69,2016-05-27,0.813,0.701,0,-6.508,0,0.0701,0.489,0.00116,0.294,0.855,104.019,1BwrMGGhPA6GarWIYaFrW8,278867,4
194,Rie y Llora,spotify:track:63knvuoSPpfzIwdDuWRSoV,55,2000,0.833,0.918,2,-4.401,0,0.0327,0.0646,2.49e-05,0.147,0.967,128.023,63knvuoSPpfzIwdDuWRSoV,250373,4
195,Quiero Tiempo (feat. Juan Luis Guerra),spotify:track:7v14trtWiPnGRPmczaabqg,33,2018-03-23,0.729,0.731,7,-2.809,0,0.0405,0.328,0.0,0.148,0.962,112.174,7v14trtWiPnGRPmczaabqg,202787,4
196,En Barranquilla Me Quedo,spotify:track:3WXfQDsASfXrSojk9WB3aR,60,2015-07-01,0.642,0.7,1,-9.213,1,0.0552,0.172,0.000232,0.0895,0.784,103.899,3WXfQDsASfXrSojk9WB3aR,312480,4
197,Guadalajara La Bella,spotify:track:5y6vDywM0lF5BIWKRUlpf2,2,2007-10-16,0.572,0.635,0,-3.687,1,0.0422,0.629,1.14e-06,0.73,0.768,85.846,5y6vDywM0lF5BIWKRUlpf2,211000,3
198,The Blues Walk - Alternate Take,spotify:track:6XsSZRBDfogPb71jvAy7Sc,21,1954-12-01,0.519,0.758,5,-9.935,0,0.0552,0.466,0.277,0.0587,0.861,132.543,6XsSZRBDfogPb71jvAy7Sc,407093,4
199,Matt & Nat's,spotify:track:12bepV7cmKBw4PxsFXKF5m,0,2006-10-10,0.485,0.934,7,-4.609,1,0.0412,0.306,0.733,0.213,0.542,113.268,12bepV7cmKBw4PxsFXKF5m,188720,4
200,Cape Classico,spotify:track:7uI9wvhe8ypa6zvuCEFGNR,0,2006-10-10,0.444,0.591,7,-8.028,0,0.0369,0.917,0.715,0.178,0.586,108.028,7uI9wvhe8ypa6zvuCEFGNR,213120,4
201,David's Jig,spotify:track:1glvuVbkZKrU1YWJlTgEY0,0,2006-10-10,0.577,0.927,7,-3.988,0,0.0734,0.184,0.362,0.105,0.859,124.194,1glvuVbkZKrU1YWJlTgEY0,288920,4
202,NPG,spotify:track:6L3zZXhiDHuxh6Xq3KffDg,0,2006-10-10,0.419,0.926,8,-4.385,1,0.0412,0.0942,0.521,0.142,0.311,115.523,6L3zZXhiDHuxh6Xq3KffDg,274707,4
203,Volcanic Jig,spotify:track:7BBeJLLRyLRYfsaov636mG,0,2006-10-10,0.529,0.735,7,-6.406,1,0.0428,0.29,0.292,0.105,0.846,123.606,7BBeJLLRyLRYfsaov636mG,361947,4
204,I’m Trying To Be Like Jesus (arr. Jared Pierce),spotify:track:04dyrPOK2Dk2fUh1aG5bPc,3,2019-11-15,0.393,0.0521,10,-18.632,1,0.035,0.987,0.463,0.0914,0.244,102.395,04dyrPOK2Dk2fUh1aG5bPc,199827,3
205,Mí Na Nollag,spotify:track:3mMBEwdCg5Er4B31GHsX2g,16,2014-07-15,0.498,0.674,7,-7.342,1,0.0322,0.0549,0.0,0.963,0.84,132.761,3mMBEwdCg5Er4B31GHsX2g,251107,4
206,Island Paddy,spotify:track:2p8CQTsNuUU8stqcK1KnUR,15,2004,0.544,0.604,0,-10.143,1,0.0304,0.349,0.905,0.127,0.736,121.239,2p8CQTsNuUU8stqcK1KnUR,159640,4
207,I'm in a Dancing Mood,spotify:track:3DkdldkTR0pbVYKMg5eXJO,41,1966,0.46,0.435,7,-12.681,0,0.0315,0.599,0.165,0.0878,0.579,139.682,3DkdldkTR0pbVYKMg5eXJO,179333,4
208,El Latido de mi Corazón,spotify:track:5GqGavoD0DCHBcRxfRK7v1,55,2017-10-27,0.397,0.384,5,-6.689,1,0.0567,0.84,0.0,0.303,0.402,173.598,5GqGavoD0DCHBcRxfRK7v1,121671,3
209,La Llorona,spotify:track:5HIXwsSwowXq6zerUeqD7l,58,2017-10-27,0.521,0.589,4,-6.034,0,0.209,0.661,0.0,0.0804,0.348,133.069,5HIXwsSwowXq6zerUeqD7l,165533,4
210,Brian's Reel/Peter's Epic Journey,spotify:track:1eorOm2tqkWnRillGJLoSS,10,1998-01-01,0.485,0.287,6,-15.54,0,0.0612,0.981,0.967,0.714,0.855,129.223,1eorOm2tqkWnRillGJLoSS,198907,4
211,The Bunting Fund / Ocean Child,spotify:track:0jurumbNzcuqXBY0UTPbuO,22,2019-04-12,0.409,0.489,9,-12.62,1,0.042,0.914,0.91,0.0999,0.936,121.016,0jurumbNzcuqXBY0UTPbuO,260298,4
212,Reel for Rubik / Toward the Sun,spotify:track:2NtEgW1pWUB6WaqABxB1oR,30,2019-04-12,0.53,0.574,9,-12.13,1,0.0356,0.821,0.951,0.0943,0.758,122.128,2NtEgW1pWUB6WaqABxB1oR,310591,4
213,Road to Errogie,spotify:track:1GeSUpfCT8dN3MqIdcXRfK,0,2006-01-11,0.337,0.641,3,-11.338,1,0.0382,0.911,0.831,0.0974,0.612,125.696,1GeSUpfCT8dN3MqIdcXRfK,291693,4
214,Sligo Reel,spotify:track:1h6g7YxBOxPXFBSusn3wW4,34,1999,0.447,0.546,8,-11.917,1,0.0377,0.262,0.0959,0.162,0.957,114.556,1h6g7YxBOxPXFBSusn3wW4,253613,4
215,Temple Hill,spotify:track:61QJ9eVFEcV0HllRmgCI6r,12,2006-03-16,0.329,0.641,2,-8.949,1,0.0385,0.0648,0.0,0.12,0.673,113.438,61QJ9eVFEcV0HllRmgCI6r,160547,4
216,Spoil the Dance,spotify:track:4rmc567mvvNbbSJLuiUHaF,28,2006-03-16,0.424,0.489,2,-9.922,0,0.0319,0.606,0.0742,0.158,0.477,111.626,4rmc567mvvNbbSJLuiUHaF,278053,4
217,Welcome Home,spotify:track:4ErvbbRioXAVbXpcmw8jkX,15,2006-03-16,0.325,0.6,2,-8.229,1,0.0352,0.303,0.378,0.221,0.675,106.973,4ErvbbRioXAVbXpcmw8jkX,241893,4
218,Scully's,spotify:track:5ybotpZpWg0hR7qNjcGGSF,14,2006-03-16,0.221,0.39,7,-8.227,1,0.0345,0.694,0.00114,0.111,0.454,88.235,5ybotpZpWg0hR7qNjcGGSF,252987,3
219,The Minor Bee,spotify:track:286xdprhT3bLbGx3UEKuXS,25,2006-03-16,0.335,0.627,11,-7.308,0,0.0441,0.286,0.0237,0.0761,0.783,118.338,286xdprhT3bLbGx3UEKuXS,286893,4
220,Inion Ni Scannlain,spotify:track:6HZBLw5O3bowdv1JpNNDRw,31,2006-03-16,0.51,0.469,3,-10.583,1,0.0296,0.905,0.983,0.233,0.813,140.034,6HZBLw5O3bowdv1JpNNDRw,167453,3
221,Blue Medley,spotify:track:0aT3I8gKAxQJzHMXJPqBYg,17,2014-12-19,0.515,0.51,0,-5.767,1,0.0636,0.191,0.0226,0.12,0.485,99.54,0aT3I8gKAxQJzHMXJPqBYg,350427,4
222,Dicen,spotify:track:2BVODFjPmDeMaNOnIFuy7Q,21,2014-12-19,0.646,0.537,9,-4.756,0,0.0383,0.0366,1.04e-05,0.107,0.45,98.037,2BVODFjPmDeMaNOnIFuy7Q,256900,4
223,Huapango Medley: Malaguena Salerosa / El Pastor / La Cigarra,spotify:track:38xV0pnJKP1IoPtOuyr8ay,22,2017-05-26,0.365,0.415,9,-5.767,0,0.0333,0.803,1.32e-05,0.174,0.183,126.137,38xV0pnJKP1IoPtOuyr8ay,414750,3
224,Cregg's Pipes,spotify:track:40ockREijSnZhwdPIG0EfR,33,2006-03-16,0.512,0.534,7,-8.505,1,0.0361,0.635,0.325,0.0896,0.578,118.281,40ockREijSnZhwdPIG0EfR,215907,4
225,Popurr Il Divo,spotify:track:6MOM8vhoYOQoie96ITorOP,1,2012-10-01,0.238,0.573,7,-2.866,1,0.0343,0.41,0.195,0.157,0.322,140.461,6MOM8vhoYOQoie96ITorOP,406000,4
226,El Jaquetón,spotify:track:5rk28qxXrV5RRWKlhIAKaU,1,2019-12-04,0.44,0.715,0,-5.2,1,0.0337,0.153,3.12e-06,0.0801,0.681,92.903,5rk28qxXrV5RRWKlhIAKaU,277125,3
227,Me Hace Tanto Bien,spotify:track:3aoYA8DmeITheCNduynI7k,1,2019-07-26,0.495,0.596,0,-3.956,1,0.0318,0.199,0.0,0.0659,0.571,95.344,3aoYA8DmeITheCNduynI7k,304039,4
228,El Nuevo Huapango,spotify:track:66aHEii9zxOehLXUOKY35R,7,2018-10-01,0.41,0.549,2,-6.209,0,0.0447,0.536,0.19,0.112,0.439,167.146,66aHEii9zxOehLXUOKY35R,529625,3
229,Besame Mucho,spotify:track:6yDiiNxjRpAglPGQhh1hkk,48,1955,0.637,0.257,10,-17.527,0,0.0549,0.881,0.706,0.975,0.304,126.544,6yDiiNxjRpAglPGQhh1hkk,358693,4
230,Blue Rondo à la Turk,spotify:track:5k0joJktHK5MvVfGEBn1wn,15,1956,0.59,0.397,7,-12.031,0,0.0375,0.846,0.254,0.116,0.436,113.473,5k0joJktHK5MvVfGEBn1wn,406133,4
231,Bossa Nova U.S.A.,spotify:track:6cjjUuY51c5SwTABCVPSYH,35,1966,0.617,0.497,5,-14.132,1,0.0471,0.53,0.0065,0.0767,0.809,105.943,6cjjUuY51c5SwTABCVPSYH,143507,4
232,Unsquare Dance,spotify:track:2jfiDZCg4UjLJEFktdcAV4,45,1966,0.647,0.512,7,-13.619,1,0.0745,0.0504,0.925,0.0989,0.582,116.981,2jfiDZCg4UjLJEFktdcAV4,119827,4
233,Take Five,spotify:track:5UbLKRX1qVROlwDFOooEvG,48,1966,0.454,0.26,10,-13.213,0,0.0405,0.529,0.000779,0.0646,0.57,174.21,5UbLKRX1qVROlwDFOooEvG,324160,5
234,To Us Is Given,spotify:track:7n76J43bOv8dO4MXCbv4Zt,42,1996-01-01,0.489,0.00504,3,-35.226,1,0.0978,0.996,0.925,0.083,0.224,95.939,7n76J43bOv8dO4MXCbv4Zt,212400,4
235,My Favorite Things - Remastered,spotify:track:04btsfSKePglV7mrp5Zhgm,27,1966,0.424,0.312,9,-18.296,0,0.035,0.513,0.727,0.0854,0.435,109.043,04btsfSKePglV7mrp5Zhgm,173600,4
236,Popurrí Romántico,spotify:track:0dNBj4GrakVzRrDZ34RQ1T,7,2019-07-26,0.357,0.461,5,-5.259,1,0.0339,0.496,0.00239,0.371,0.308,134.744,0dNBj4GrakVzRrDZ34RQ1T,459546,4
237,Por una Cabeza - Remastered,spotify:track:4mILlpvJqm5WpP0h5HMbKu,16,1987-01-01,0.641,0.47,7,-4.516,1,0.0317,0.499,0.505,0.15,0.624,116.056,4mILlpvJqm5WpP0h5HMbKu,263312,4
238,Nunca Es Suficiente,spotify:track:63USmok1OioBzKuWGW9wAg,68,2018-06-08,0.789,0.518,2,-5.417,0,0.0406,0.398,0.0,0.0891,0.78,94.001,63USmok1OioBzKuWGW9wAg,266213,4
239,"Ni Contigo, Ni Sin Ti",spotify:track:3tHYpuF2eIc4pDrzIdNN3Y,57,2018-06-08,0.581,0.52,4,-5.347,1,0.0298,0.383,0.0,0.322,0.643,79.565,3tHYpuF2eIc4pDrzIdNN3Y,251627,4
240,Feliz Navidad,spotify:track:0YBCj1LRKe7eQPgk9ianSw,0,2007-06-26,0.598,0.626,7,-4.467,1,0.0319,0.159,0.00013,0.138,0.914,149.931,0YBCj1LRKe7eQPgk9ianSw,134400,4
241,Ven A Mi Casa Esta Navidad,spotify:track:39bVDSb6S840nZZikL11OJ,0,2007-06-26,0.642,0.451,2,-7.256,1,0.0319,0.799,1.19e-06,0.364,0.513,120.043,39bVDSb6S840nZZikL11OJ,192160,4
242,Guantanamera,spotify:track:3LNME29JbUXZUPzqABYr11,0,2007-06-26,0.796,0.548,0,-5.249,1,0.0315,0.466,7.26e-05,0.056,0.881,133.004,3LNME29JbUXZUPzqABYr11,210627,4
243,México de Noche - Tema de Noche a Noche,spotify:track:6V3xydrV9T3cPy3ezH6BQ5,38,2005-10-18,0.383,0.496,9,-7.534,0,0.0398,0.116,0.374,0.272,0.755,91.427,6V3xydrV9T3cPy3ezH6BQ5,213560,3
244,No me amenaces,spotify:track:7FaDBpQuCQxWL0nAYTg8n1,54,2017-11-24,0.397,0.58,9,-3.819,1,0.0369,0.486,0.0,0.104,0.696,79.922,7FaDBpQuCQxWL0nAYTg8n1,148653,3
245,Vivir Mi Vida,spotify:track:6nIRMjkzlPyYcV6YDaU7hp,3,2013-06-24,0.638,0.519,5,-5.574,1,0.0268,0.335,0.0,0.568,0.574,108.624,6nIRMjkzlPyYcV6YDaU7hp,244587,4
246,"Cumbia Medley: Mariachi Loco, La Pollera Colora, La Bala, No Te Metas Con Mi Cucu, Rosa Maria, La Cucaracha, Yo No Fui",spotify:track:5eK3yqT9NrWPh36KszcjDU,0,2007-06-26,0.716,0.737,7,-6.811,1,0.0676,0.608,1.02e-05,0.225,0.896,105.143,5eK3yqT9NrWPh36KszcjDU,296080,4
247,Que Bonita Es Esta Vida,spotify:track:3jaqmQeVWPbhdU9oYm0ZQp,39,2016-06-09,0.569,0.601,9,-5.44,1,0.0331,0.259,2.18e-06,0.13,0.642,90.956,3jaqmQeVWPbhdU9oYm0ZQp,271133,3
248,La fiesta del mariachi,spotify:track:6tiY3rQJZ8m1SYDm2h6bJJ,55,2017-11-24,0.573,0.861,7,-2.726,1,0.0381,0.0942,0.0,0.101,0.869,88.044,6tiY3rQJZ8m1SYDm2h6bJJ,164413,3
249,El Balajú / Huapango,spotify:track:6ejQdiWRgOUK0f7ws7K0Sf,55,2017-11-24,0.534,0.718,7,-2.546,1,0.0468,0.0257,0.0,0.209,0.469,99.058,6ejQdiWRgOUK0f7ws7K0Sf,169253,3
250,Juan Ga: Se Me Olvidó Otra Vez / Costumbres / Me Gustas Mucho,spotify:track:0M2uDMzj1fL1qhPposUjYF,29,2017-05-26,0.429,0.424,0,-4.364,1,0.033,0.471,0.0,0.221,0.352,125.683,0M2uDMzj1fL1qhPposUjYF,299036,4
251,Si Nos Dejan - En Vivo,spotify:track:04kdbkyXKEGnbRxqLKjchb,63,2005-12-02,0.501,0.685,5,-7.349,1,0.0325,0.5,0.0,0.953,0.382,105.468,04kdbkyXKEGnbRxqLKjchb,152173,4
252,Popurri Jarocho,spotify:track:78SHvCcwpWBehX2YzaF5UJ,0,2013-06-24,0.451,0.576,7,-4.488,1,0.0732,0.377,0.000234,0.611,0.666,101.378,78SHvCcwpWBehX2YzaF5UJ,206947,3
253,sabor a mi,spotify:track:6mHBRUfpj9AfZtl9IO2USU,0,2008-09-01,0.351,0.505,9,-4.77,1,0.0291,0.648,0.0,0.124,0.439,84.011,6mHBRUfpj9AfZtl9IO2USU,192027,4
254,Guadalajara,spotify:track:7bqkK6DMlXwcIHbSzLq1xx,55,1988-01-15,0.442,0.658,5,-6.475,1,0.0739,0.454,0.00176,0.322,0.72,188.409,7bqkK6DMlXwcIHbSzLq1xx,176907,3
255,La Boa (with Roco),spotify:track:7ABQCjoIihsCbVb4ixsTEf,57,2016-04-01,0.946,0.631,7,-5.612,1,0.0567,0.56,0.000591,0.814,0.891,130.002,7ABQCjoIihsCbVb4ixsTEf,176600,4
256,Allá en el rancho grande (remastered),spotify:track:3a9QpnHcG3KeLgv7Lhc6yy,44,2002-01-01,0.392,0.655,9,-5.634,1,0.0385,0.448,0.00485,0.071,0.92,140.098,3a9QpnHcG3KeLgv7Lhc6yy,133720,4
257,Jarabe Tapatio,spotify:track:7MrFOPlklS8xnxElrcJWXl,43,2005-10-18,0.369,0.767,0,-4.376,1,0.0644,0.654,0.785,0.313,0.809,168.152,7MrFOPlklS8xnxElrcJWXl,156067,3
258,El Burrito De Belen (Mi Burrito Sabanero),spotify:track:38ZkMvb0XAD1774x0x4jAf,0,2007-06-26,0.775,0.661,7,-3.099,1,0.0325,0.631,0.0,0.164,0.938,99.999,38ZkMvb0XAD1774x0x4jAf,171413,4
259,Navidad en América,spotify:track:2ccmP0Y9mO8VAsJ1tA8HUX,8,2006-11-30,0.393,0.41,7,-6.694,1,0.0329,0.736,2.22e-05,0.34,0.353,139.586,2ccmP0Y9mO8VAsJ1tA8HUX,478333,4
260,Los Peces en el Rio,spotify:track:3DutRdISLSbiqxsR9Qku6P,3,2006-11-30,0.716,0.637,9,-5.078,0,0.0351,0.698,0.0,0.095,0.579,128.075,3DutRdISLSbiqxsR9Qku6P,169867,4
261,El Corrido de David y Goliat,spotify:track:6ZcrFqBl10CrW0ji4WTGnJ,0,2019-05-31,0.637,0.534,9,-3.495,1,0.0303,0.0921,0.0,0.0636,0.704,124.867,6ZcrFqBl10CrW0ji4WTGnJ,214573,4
262,En Mi Viejo San Juan - Versión Trío,spotify:track:2htAwAC9v2lne771rBnzSJ,46,2003-09-30,0.668,0.55,8,-7.96,1,0.0373,0.491,7.06e-05,0.0861,0.745,188.059,2htAwAC9v2lne771rBnzSJ,218107,4
263,"Ay, Mamá Inés",spotify:track:5eeZItvyhs0zNAN17uDnPM,38,2016-03-04,0.794,0.362,2,-13.089,0,0.0879,0.669,0.881,0.0941,0.806,87.083,5eeZItvyhs0zNAN17uDnPM,194707,4
264,El Padre Antonio - Y El Monaguillo Andres,spotify:track:2iyffU4KcLybIIn7MvkiuH,38,1984-04-03,0.551,0.498,9,-10.63,1,0.07,0.644,7.92e-06,0.0675,0.526,108.818,2iyffU4KcLybIIn7MvkiuH,483360,4
265,Summertime,spotify:track:61kdYuzRxng0e8rKb3QLq6,29,1993-01-01,0.522,0.491,9,-13.573,0,0.0394,0.276,0.803,0.01,0.884,150.35,61kdYuzRxng0e8rKb3QLq6,425333,4
266,Granada,spotify:track:22SmTBT1AQQpeH9gyhOOYG,36,2018-05-18,0.265,0.607,0,-6.925,1,0.0468,0.884,0.0375,0.0952,0.33,84.726,22SmTBT1AQQpeH9gyhOOYG,287987,3
267,Cachito Mio,spotify:track:01P7I0Px0O2XBlg9CTwBr6,41,2014-09-22,0.893,0.591,5,-6.903,1,0.0533,0.399,0.0,0.192,0.926,120.98,01P7I0Px0O2XBlg9CTwBr6,174093,4
268,Rubén's Medley: Ligia Elena / El Número 6 / Juan Pachanga,spotify:track:0AjlTi91CVnXv6wGQ5UM4k,25,2018-10-19,0.549,0.587,11,-8.047,0,0.0911,0.636,0.0,0.783,0.656,106.062,0AjlTi91CVnXv6wGQ5UM4k,724944,4
269,Capetillo,spotify:track:3cDmCzTPqZojZUxh9vY3Ij,14,2005-10-18,0.517,0.54,7,-5.383,1,0.033,0.716,0.878,0.167,0.814,120.052,3cDmCzTPqZojZUxh9vY3Ij,154920,4
270,"Perdón, Perdón",spotify:track:3uhJfLSAdi5H12QeneRn6v,50,2018-06-08,0.657,0.537,3,-4.355,1,0.0286,0.553,0.0,0.0985,0.711,82.011,3uhJfLSAdi5H12QeneRn6v,181667,4
271,Amor A Primera Vista,spotify:track:1E7RHPXA9sZ30qfms18J7J,46,2019-06-14,0.675,0.821,0,-6.017,1,0.0668,0.223,5.11e-05,0.149,0.96,170.163,1E7RHPXA9sZ30qfms18J7J,221347,4
272,Alla En El Rancho Grande,spotify:track:4nyBbyrarSkoxROa6xUhNt,0,2019-08-27,0.519,0.536,7,-3.975,1,0.0276,0.128,0.0,0.0891,0.715,139.479,4nyBbyrarSkoxROa6xUhNt,167158,4
273,Cuando Suena el Mariachi / MI Pais,spotify:track:0USev91dURlAyY1Ws3Nwwf,37,2016-09-07,0.365,0.57,4,-4.585,0,0.0359,0.627,0.0,0.353,0.639,79.561,0USev91dURlAyY1Ws3Nwwf,288133,3
274,El son de la negra,spotify:track:1kjMKI2xugTJvBFPZT140r,51,2007-10-25,0.481,0.561,7,-9.101,1,0.0498,0.268,0.0137,0.255,0.834,170.908,1kjMKI2xugTJvBFPZT140r,179000,3
275,La Negra,spotify:track:3WLV5rDKoXQlu318gGvKKw,29,2005-10-18,0.414,0.749,7,-4.096,1,0.0427,0.805,0.0212,0.284,0.763,90.199,3WLV5rDKoXQlu318gGvKKw,170000,4
276,El Cascabel,spotify:track:1lbbc8TtkloeDC3gwYaoTB,43,2005-10-18,0.509,0.563,9,-7.972,0,0.0321,0.835,0.105,0.604,0.514,105.266,1lbbc8TtkloeDC3gwYaoTB,311933,4
277,New World,spotify:track:4HDomHEPLtyQC7oTbCI5Tm,28,2008-09-26,0.123,0.165,1,-12.23,1,0.0374,0.947,0.625,0.103,0.0719,76.165,4HDomHEPLtyQC7oTbCI5Tm,393973,3
278,La Vida Es un Vals,spotify:track:0uKPDNjZ0cPNxspqOML6RQ,47,2015-10-09,0.644,0.605,1,-7.096,0,0.0367,0.275,0.0,0.089,0.189,104.88,0uKPDNjZ0cPNxspqOML6RQ,225373,4
279,Mi Tierra,spotify:track:41LiGcvaTkXHyPjfsxKvWv,59,1993-06-03,0.77,0.668,1,-6.942,0,0.0399,0.151,0.0,0.0838,0.94,99.16,41LiGcvaTkXHyPjfsxKvWv,278333,4
280,Flor Pálida,spotify:track:47TyfLrGhYHHyyQWk64d0M,73,2013-07-23,0.574,0.802,7,-3.976,1,0.0316,0.659,5.07e-06,0.0765,0.739,93.537,47TyfLrGhYHHyyQWk64d0M,280453,4
281,Lo Que Te Di,spotify:track:0W8NvcMsIuygeFnfNz2KnC,57,2019-05-10,0.714,0.891,2,-4.223,1,0.0344,0.608,6.71e-06,0.288,0.652,97.073,0W8NvcMsIuygeFnfNz2KnC,241760,4
282,El Cantante,spotify:track:3gIZxkCKjNP1tft5TynUED,52,2007-07-24,0.478,0.728,7,-4.138,0,0.0344,0.0664,0.000431,0.29,0.74,96.669,3gIZxkCKjNP1tft5TynUED,407533,4
283,Nunca Es Suficiente,spotify:track:2niUiaoJDCzNldW0pV66zb,71,2015-11-13,0.699,0.61,2,-9.308,0,0.0541,0.511,2.31e-06,0.127,0.846,178.112,2niUiaoJDCzNldW0pV66zb,237107,4
284,Hoy Es Domingo (feat. Rubén Blades),spotify:track:232xxylg2FJfMvBRgouDc4,39,2015-10-09,0.777,0.721,10,-3.874,1,0.0392,0.127,7.8e-06,0.111,0.704,94.981,232xxylg2FJfMvBRgouDc4,273587,4
285,Culpable - Remix / Versión Salsa,spotify:track:7pnPzV2XKnsCtjSLHeWQto,29,2019-08-15,0.673,0.871,11,-3.316,1,0.044,0.426,0.0,0.171,0.948,95.994,7pnPzV2XKnsCtjSLHeWQto,197167,4
286,Yo No Sé Mañana,spotify:track:7nDIflSHQXzaa8zupxwv3U,75,2009-05-19,0.653,0.827,4,-3.206,0,0.042,0.649,0.0,0.18,0.733,95.223,7nDIflSHQXzaa8zupxwv3U,259853,4
287,Vivir Mi Vida,spotify:track:3QHMxEOAGD51PDlbFPHLyJ,77,2013-07-23,0.656,0.877,0,-3.231,0,0.0342,0.345,0.0,0.349,0.894,105.018,3QHMxEOAGD51PDlbFPHLyJ,252347,4
288,Cambio de Piel,spotify:track:3AjxOdecZ2eKDL0aOtcYsJ,60,2013-07-23,0.425,0.874,0,-3.097,1,0.0409,0.596,4.18e-06,0.115,0.814,164.127,3AjxOdecZ2eKDL0aOtcYsJ,279360,4
289,Terremoto,spotify:track:15gVbJONLKYQOqhDywJxNN,32,1995,0.678,0.778,9,-12.522,0,0.0347,0.596,0.846,0.132,0.8,103.536,15gVbJONLKYQOqhDywJxNN,300933,4
290,I Will Wait,spotify:track:0hm8rgOY17z7kQJlqGKbu7,68,2012-09-25,0.48,0.756,1,-5.399,1,0.0333,0.00993,0.00704,0.312,0.447,131.127,0hm8rgOY17z7kQJlqGKbu7,276720,4
291,Oceano,spotify:track:4V2vXIBcv1QsdvVftLFaWL,8,2015-02-14,0.191,0.444,10,-10.845,1,0.0528,0.818,0.0054,0.104,0.0784,76.786,4V2vXIBcv1QsdvVftLFaWL,250107,3
292,Meitheamh,spotify:track:24PsS5q3ozNmzVt4HubwXp,19,2014-07-15,0.54,0.583,9,-9.461,1,0.0406,0.487,0.000309,0.868,0.576,122.45,24PsS5q3ozNmzVt4HubwXp,268813,4
293,Funky Cha-Cha,spotify:track:25XFAuTufCPRQ5TKBgGUZI,34,2016-02-26,0.576,0.702,5,-13.162,0,0.0616,0.253,0.558,0.666,0.818,141.271,25XFAuTufCPRQ5TKBgGUZI,448733,4
294,"Far, Far Away On Judea's Plains",spotify:track:3MzgirFs9EiDdcCvKummVp,7,2013-11-26,0.437,0.392,7,-8.518,1,0.038,0.0335,0.0,0.107,0.841,113.995,3MzgirFs9EiDdcCvKummVp,149280,4
295,Dream Big,spotify:track:47eSqU2GuNCDUMF57b3SXJ,48,2005-01-01,0.619,0.466,5,-8.29,1,0.0306,0.624,0.0,0.12,0.402,92.094,47eSqU2GuNCDUMF57b3SXJ,216773,4
296,Plástico,spotify:track:3ZIE8flTJ6WWn8wF0YzaaQ,58,1978-01-01,0.658,0.541,11,-7.73,0,0.0585,0.797,1.84e-06,0.456,0.7,103.176,3ZIE8flTJ6WWn8wF0YzaaQ,401880,4
297,Amor y Control,spotify:track:303cDwi274kSEH0NSR73AX,61,1992,0.753,0.59,7,-9.622,1,0.0357,0.449,0.0104,0.153,0.863,88.786,303cDwi274kSEH0NSR73AX,352440,4
298,La Bilirrubina,spotify:track:160BOfvWG2QLinvT8hUbT7,38,2018-05-18,0.708,0.891,1,-4.76,1,0.0557,0.526,2.4e-06,0.031,0.961,137.935,160BOfvWG2QLinvT8hUbT7,300987,4
