,name,uri,popularity,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
102,From a Distance,spotify:track:5XlAOYLA5R1gTR8wBv0dQH,39,2017-05-26,0.145,0.257,10,-11.218,1,0.0448,0.962,0.00609,0.0758,0.137,77.327,5XlAOYLA5R1gTR8wBv0dQH,299160,5
103,Hipsippy Blues,spotify:track:3iFlfQ0CXc9URaAvai8VUe,47,2020-07-17,0.573,0.247,5,-19.282,0,0.0627,0.713,5.64e-05,0.103,0.604,138.234,3iFlfQ0CXc9URaAvai8VUe,400447,4
104,The Water is Wise,spotify:track:6YqJKEB5KAS1x3SVA0OpqK,22,2018-06-08,0.487,0.532,5,-6.7,1,0.0256,0.372,0.0,0.14,0.69,103.154,6YqJKEB5KAS1x3SVA0OpqK,232947,4
105,Yo Puedo Hacer,spotify:track:0glLChQmRqVVnNbS5QgSCV,35,2016-10-28,0.4,0.481,7,-6.548,1,0.0271,0.0935,2.48e-06,0.245,0.443,90.361,0glLChQmRqVVnNbS5QgSCV,247975,4
106,In the Bleak Midwinter,spotify:track:6PYTnU5lUjSf0UvTPYe9w3,12,2007-11-06,0.104,0.0311,2,-21.553,1,0.0427,0.982,0.000313,0.211,0.129,76.106,6PYTnU5lUjSf0UvTPYe9w3,205187,4
107,Slow Down - Live at Temple Square,spotify:track:6ky5KNMW1F77zsNNQLuPtn,16,2019-08-23,0.127,0.228,9,-15.33,1,0.0385,0.979,0.0495,0.659,0.039,80.396,6ky5KNMW1F77zsNNQLuPtn,316848,4
108,Drowsie Maggie/Rakish Paddy,spotify:track:79oCNhWfsiN7HnOdAC42p0,4,2011-11-01,0.524,0.807,4,-6.46,0,0.0367,0.024,0.00716,0.88,0.521,115.904,79oCNhWfsiN7HnOdAC42p0,175000,4
109,What Child Is This/Irish Reel Set,spotify:track:6kHzOdASSDjgcKdMjCwpEu,2,2011-11-01,0.33,0.848,2,-5.667,1,0.0437,0.0222,0.612,0.144,0.215,111.931,6kHzOdASSDjgcKdMjCwpEu,251747,4
110,Christmas Eve,spotify:track:2hRRk4lkRTTLPDICzjH9AJ,1,2011-11-01,0.554,0.692,7,-8.881,1,0.0435,0.00802,0.504,0.107,0.855,114.988,2hRRk4lkRTTLPDICzjH9AJ,109093,4
111,God Rest Ye Merry Gentlemen/Joy To The World,spotify:track:2KAJ7FTaKtMXwBJaP0QddM,8,2011-11-01,0.536,0.899,7,-5.336,1,0.0476,0.134,0.0127,0.0666,0.745,99.978,2KAJ7FTaKtMXwBJaP0QddM,262253,4
112,I Heard the Bells on Christmas Day,spotify:track:1o1QNFKiLDH4PP6fgk03on,7,2015-11-06,0.742,0.385,5,-7.199,1,0.0339,0.659,0.273,0.073,0.522,122.737,1o1QNFKiLDH4PP6fgk03on,265409,4
113,God Rest Ye Merry Gentlemen,spotify:track:44lSMWCWWlhyMVPUvTWxOg,0,2009-01-01,0.539,0.252,2,-18.548,1,0.0396,0.507,0.926,0.111,0.177,101.78,44lSMWCWWlhyMVPUvTWxOg,264213,3
114,Frosty The Snowman,spotify:track:6GzguOrdTfs11VIgo271iZ,14,1996-01-01,0.594,0.405,7,-11.408,1,0.0484,0.787,0.838,0.143,0.527,106.188,6GzguOrdTfs11VIgo271iZ,234173,4
115,Don´t You Worry 'Bout A Thing,spotify:track:5SSN8J2KnrpW1CLpKJhXXO,33,2018-05-18,0.756,0.806,0,-5.047,1,0.0352,0.0456,0.0,0.07,0.871,134.056,5SSN8J2KnrpW1CLpKJhXXO,259853,4
116,El Perdón (with Enrique Iglesias),spotify:track:7qCAVkHWZkF44OzOUKf8Cr,74,2017-01-20,0.628,0.69,8,-5.83,1,0.0511,0.443,0.0,0.113,0.66,179.908,7qCAVkHWZkF44OzOUKf8Cr,205907,4
117,Bailando - Spanish Version,spotify:track:32lm3769IRfcnrQV11LO4E,69,2014-01-01,0.723,0.777,7,-3.503,1,0.108,0.0426,3.68e-06,0.0451,0.961,91.017,32lm3769IRfcnrQV11LO4E,243413,4
118,Ac-Cent-Tchu-Ate The Positive,spotify:track:0cVY2lv88WoOG085JCCSc0,28,2012-01-01,0.772,0.282,0,-12.281,1,0.0526,0.863,2.11e-06,0.11,0.528,130.356,0cVY2lv88WoOG085JCCSc0,151187,4
119,Fruitmarket Reels,spotify:track:0y5HTfO7BmRX5ov17ZHvWC,27,2010-04-06,0.52,0.475,9,-10.532,1,0.0417,0.616,0.000152,0.267,0.785,115.598,0y5HTfO7BmRX5ov17ZHvWC,260120,4
